,Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
165,Netherlands,2011-01-01,166th,28.3,1.4,2.4,4.4,3.2,2.9,2.2,1.1,1.7,1.0,3.0,3.0,2.1
166,Australia,2011-01-01,167th,28.1,1.7,1.6,3.6,2.9,3.9,1.6,1.6,1.8,1.9,3.3,2.8,1.4
167,Canada,2011-01-01,168th,27.7,1.5,2.5,3.3,2.4,4.1,2.4,1.2,1.9,1.6,2.9,2.5,1.4
168,Austria,2011-01-01,169th,27.3,1.1,2.4,3.8,2.3,4.4,1.6,1.2,1.6,1.5,2.6,2.6,2.2
169,Luxembourg,2011-01-01,170th,26.1,2.3,3.4,2.8,2.3,2.0,1.5,2.5,1.9,1.0,1.7,2.1,2.6
170,Ireland,2011-01-01,171st,25.3,1.6,1.4,1.3,3.9,2.6,2.4,2.0,2.2,1.2,2.3,2.0,2.4
171,New Zealand,2011-01-01,172nd,24.8,1.1,1.1,3.5,3.8,4.0,2.4,1.1,1.9,1.2,2.0,1.7,1.1
172,Denmark,2011-01-01,173rd,23.8,1.5,1.0,3.3,2.5,1.7,2.1,1.2,1.6,1.3,2.9,2.1,2.6
173,Switzerland,2011-01-01,174th,23.2,1.4,1.0,3.5,2.4,2.8,2.1,1.0,1.6,2.0,2.1,1.9,1.4
174,Sweden,2011-01-01,175th,22.8,2.3,1.8,1.3,1.9,2.2,2.0,0.9,1.5,1.6,2.8,2.9,1.6
175,Norway,2011-01-01,176th,20.4,1.2,1.2,1.3,2.9,2.1,1.5,1.0,1.4,1.9,2.0,2.0,1.9
176,Finland,2011-01-01,177th,19.7,1.0,1.2,1.7,2.8,1.3,2.5,1.0,1.5,1.1,2.0,2.1,1.5
