,Crime,District,Neighborhood,ILEADSStreet,CADStreet,Lon,Lat
7175,265321,2,15,GRAVOIS AVE,,-90.24425568699996,38.59263146700005
7176,91123,4,77,N COMPTON AVE,,-90.22400989299996,38.64119384800006
7177,91123,4,77,FRANKLIN AVE,FRANKLIN,-90.22405297099994,38.64018619900003
7178,91123,4,77,FRANKLIN AVE,FRANKLIN,-90.22405297099994,38.64018619900003
7179,51122,4,77,FINNEY AVE,FINNEY,-90.23485798799999,38.64697711600007
7180,229999,4,35,LOCUST ST,LOCUST,-90.19367788399995,38.62933014600003
7181,66701,4,35,OLIVE ST,OLIVE,-90.19434819199995,38.62884861800006
7182,91123,3,22,S JEFFERSON AVE,JEFFERSON,-90.22421660199996,38.596644456000035
7183,91123,3,22,S JEFFERSON AVE,JEFFERSON,-90.22421660199996,38.596644456000035
7184,265321,2,15,MORGANFORD RD,MORGANFORD,-90.26234051199998,38.59885343800005
7185,250000,4,36,N TUCKER BLVD,TUCKER,-90.19666567499996,38.63306139500003
7186,41011,5,78,ROMAINE PL,ROMAINE,-90.28448985799997,38.67044401100003
7187,142320,6,71,W FLORISSANT AVE,FLORISSANT,-90.23587612099999,38.690378397000075
7188,142320,1,3,DOVER PL,DOVER,-90.25657814799996,38.56745491800007
7189,64701,2,9,WINONA AVE,WINONA,-90.31782586499997,38.59534754400005
7190,65601,2,39,CHOUTEAU AVE,,-90.24991792299994,38.62768726000007
7191,65601,6,74,N BROADWAY,BROADWAY,-90.22992542199995,38.709539333000066
7192,263299,2,9,MARQUETTE AVE,MARQUETTE,-90.29262142499994,38.59950962800008
7193,265321,3,21,S 9TH ST,,-90.20687342299999,38.60248958200003
7194,65601,5,38,IKEA WAY,IKEA,-90.24267910999998,38.634860382000056
7195,31112,4,36,LUCAS AVE,,-90.21045770799998,38.63540840100006
7196,266510,4,36,N TUCKER BLVD,TUCKER,-90.19666567499996,38.63306139500003
7197,265321,4,65,SALISBURY ST,LAFAYETTE,-90.19885097299994,38.66147622400007
7198,142320,5,38,FOREST PARK AVE,FOREST PARK,-90.25728222599997,38.638409109000065
7199,142320,3,22,INDIANA AVE,INDIANA,-90.22340504799996,38.59923195600004
7200,266999,2,9,CHIPPEWA ST,CHIPPEWA,-90.31631119299999,38.586275331000024
7201,63701,2,9,CHIPPEWA ST,CHIPPEWA,-90.31631119299999,38.586275331000024
7202,31112,5,58,COOK AVE,DELMAR,-90.23727702299999,38.648544998000034
7203,65701,1,1,MICHIGAN AVE,MICHIGAN,-90.24898064699994,38.56002013500006
7204,64711,4,62,N 7TH ST,7TH,-90.18850792599994,38.63618952500008
7205,41011,5,50,ROOSEVELT PL,,-90.27570657999996,38.679807495000034
7206,241100,5,46,DELMAR BLVD,DELMAR,-90.29971197599997,38.65542898800004
7207,64711,3,32,HICKORY ST / MACKAY PL,MACKAY,-90.21571085999994,38.61987937600003
7208,142320,3,25,SHENANDOAH AVE,SHENANDOAH,-90.23762314399994,38.60921320800003
7209,265321,2,13,HAMPTON AVE,,-90.28760137599994,38.61060518200003
7210,91114,5,48,HODIAMONT AVE,HODIAMONT,-90.28936890099999,38.669038759000046
7211,91113,5,48,HODIAMONT AVE,HODIAMONT,-90.28936890099999,38.669038759000046
7212,41011,6,73,DRURY LN,DRURY,-90.24723978499998,38.71103610600005
7213,265321,4,77,PAGE BLVD,,-90.22729478099996,38.64588333300003
7214,51322,2,7,CHIPPEWA ST,CHIPPEWA,-90.28971465699999,38.59268078500003
7215,71013,2,14,JANUARY AVE / PERNOD AVE,PERNOD,-90.28839110099995,38.59623988200008
