,Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
94,Dominican Republic,2014-01-01,95th,73.4,4.9,6.5,6.1,5.5,6.6,7.9,5.7,6.5,5.8,6.5,5.6,5.8
95,Saudi Arabia,2014-01-01,96th,73.1,6.9,8.0,7.7,3.9,6.1,3.4,8.1,4.0,8.8,6.0,4.9,5.3
96,Peru,2014-01-01,97th,72.9,6.7,6.7,7.3,4.2,7.5,6.4,7.4,6.7,4.8,5.8,5.0,4.4
97,Vietnam,2014-01-01,98th,72.7,5.1,6.9,6.0,5.7,5.8,5.5,8.0,5.5,7.6,6.2,5.0,5.4
98,Gabon,2014-01-01,99th,72.2,5.1,7.1,3.6,5.1,7.0,5.5,7.7,7.1,6.6,6.9,5.3,5.2
99,El Salvador,2014-01-01,100th,72.0,6.1,4.3,6.0,6.2,6.9,6.6,5.6,6.4,5.8,7.1,5.6,5.4
100,Serbia,2014-01-01,100th,72.0,6.2,8.0,8.0,6.4,5.6,5.0,5.8,4.4,5.2,4.2,6.5,6.7
101,Paraguay,2014-01-01,102nd,71.6,6.2,7.8,6.2,5.4,8.7,4.9,7.4,6.4,6.0,5.8,2.7,4.1
102,Namibia,2014-01-01,103rd,71.5,4.6,3.5,5.6,6.8,8.4,6.8,4.1,7.0,4.6,7.1,5.8,7.2
103,Armenia,2014-01-01,104th,71.3,5.6,7.4,5.7,5.8,5.3,5.7,6.7,4.4,6.8,4.7,6.7,6.5
104,Mexico,2014-01-01,105th,71.1,7.6,5.1,6.1,4.9,6.9,5.6,5.8,6.3,6.0,6.7,4.3,5.8
105,Guyana,2014-01-01,106th,71.0,5.5,5.1,6.2,6.7,6.5,8.8,5.6,6.3,4.1,5.9,4.1,6.2
106,Cuba,2014-01-01,107th,70.8,6.0,7.2,4.8,4.8,5.9,6.0,6.8,4.9,7.0,5.9,5.0,6.5
107,Ghana,2014-01-01,108th,70.7,4.1,5.0,4.9,6.0,6.8,7.3,4.8,7.9,4.9,6.9,5.8,6.3
108,Suriname,2014-01-01,109th,70.6,5.7,5.8,6.1,7.1,6.9,7.4,5.8,5.5,5.2,5.6,3.3,6.2
